climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,ppb,Atmospheric Concentrations|CH4,1755.23,1757.19,1761.5,1770.29,1778.2,1778.01,1776.53,1778.96,1783.59,1784.23,1783.36,1783.42,1788.95,1798.42,1802.1,1807.85,1813.07,1815.26,1822.58,1831.47,1841.94,1857.25447,1871.428005,1884.500915,1896.495275,1907.442755,1917.403795,1928.1222950000001,1939.443545,1951.4346,1964.09268,1977.150995,1990.93127,2005.110425,2019.728155,2034.85122,2050.313585,2067.0828650000003,2084.9454450000003,2103.9218899999996,2123.848465,2144.569265,2166.267445,2188.5511850000003,2211.45349,2235.082935,2259.391545,2283.5940950000004,2307.40463,2330.77613,2353.659135,2376.57663,2399.140955,2421.37727,2443.07292,2464.70485,2486.19932,2506.216865,2524.056005,2540.1852449999997,2554.671955,2567.73942,2579.3530499999997,2589.891755,2599.0193600000002,2607.13648,2614.23802,2620.642685,2626.073875,2630.6895050000003,2634.729615,2638.0021800000004,2640.52539,2642.282925,2643.447975,2644.74002,2645.0977350000003,2643.867385,2641.410465,2638.65221,2634.65127,2629.705065,2624.151335,2617.525345,2610.97633,2602.9951499999997,2595.111375,2585.76241,2575.468575,2564.104445,2550.865765,2537.823845,2523.65113,2508.665775,2493.967565,2478.9450500000003,2462.213745,2445.5950700000003,2430.65214,2415.75075,2401.2582599999996,2386.2936250000002,2371.3597849999996,2356.69056,2342.71465,2329.15449
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,ppm,Atmospheric Concentrations|CO2,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.72077,405.539975,408.438905,411.397485,414.45131000000003,417.56284,420.783405,424.13265,427.55897,431.080735,434.744125,438.498625,442.347345,446.254805,450.30838,454.425615,458.659205,463.00550999999996,467.531185,472.18893,476.99197000000004,481.980345,486.99312499999996,492.17633,497.45516999999995,502.94105,508.46297500000003,514.160455,520.006125,525.952865,532.1139450000001,538.402105,544.805835,551.3768050000001,558.10801,565.0264950000001,572.105585,579.215425,586.59046,594.1185,602.0225849999999,609.98208,618.119155,626.438885,635.034165,643.762245,652.6269,661.586905,670.8108050000001,680.104515,689.69943,699.4251200000001,709.45267,719.590175,729.86618,740.293755,750.77642,761.47055,772.4139,783.607665,794.84227,806.094315,817.40126,828.88867,840.6821600000001,852.797125,864.6130700000001,876.349385,888.116685,900.157655,912.29682,924.5758350000001,936.6460950000001,948.70839,960.9614799999999,973.25154,985.472985,997.79713,1010.051225,1022.13862,1034.13472,1045.9946049999999,1057.890605,1069.84426,1081.86457
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,ppb,Atmospheric Concentrations|N2O,311.279,312.298,313.183,313.907,314.709,315.759,316.493,317.101,317.73,318.357,319.13,319.933,320.646,321.575,322.275,323.141,324.159,325.005,325.919,326.988,328.18,328.93937500000004,329.71213,330.499395,331.30258,332.121505,332.956,333.796085,334.64157,335.492345,336.348365,337.20966999999996,338.076345,338.94795,339.824695,340.70648,341.59351,342.48287,343.37492,344.269525,345.16657,346.06599,346.96747,347.87111500000003,348.777245,349.68618000000004,350.5973,351.498285,352.388915,353.26928999999996,354.13935,354.9993,355.849105,356.688905,357.518275,358.338295,359.14878999999996,359.95538,360.758815,361.55908,362.35578499999997,363.14946499999996,363.93958,364.72664,365.50931,366.288715,367.06558,367.83625,368.59955,369.35731,370.108735,370.85343,371.591275,372.32266500000003,373.04729499999996,373.76544,374.47668999999996,375.182635,375.883145,376.57565999999997,377.26417000000004,377.948165,378.62671,379.29733,379.96115,380.62058,381.27725,381.924505,382.5623,383.19037000000003,383.80812000000003,384.418215,385.018415,385.61141999999995,386.19471,386.76623,387.33062,387.882765,388.42293,388.95138499999996,389.46925,389.975425,390.469615,390.951605,391.4223,391.881665
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,GtC / yr,CO2I_INVERSE_EMMS,6.2588799999999996,5.100775,7.22029,6.67779,5.506075,5.914645,7.449335,8.386835,6.658555,7.114565,7.59727,6.567165,7.790875,6.950340000000001,8.672525,8.277905,7.99966,9.29137,7.64808,8.582609999999999,9.6081,9.86785,10.119675,10.348915000000002,10.575665,10.799005000000001,11.09768,11.395050000000001,11.690760000000001,11.986285,12.28158,12.58283,12.883415,13.186615,13.486705,13.786235,14.180825,14.57948,14.98208,15.38231,15.77419,16.171975000000003,16.565555000000003,16.96512,17.36085,17.758375,18.1943,18.63052,19.06694,19.50224,19.940935000000003,20.37277,20.805664999999998,21.23518,21.66473,22.095875,22.614005,23.13259,23.65243,24.172825,24.692895,25.21062,25.724285000000002,26.24115,26.75873,27.272965,27.735235000000003,28.19671,28.658595,29.119574999999998,29.5818,30.044815,30.503905000000003,30.960344999999997,31.4177,31.87594,32.228300000000004,32.581105,32.93221,33.28072,33.63071,33.9797,34.33127,34.68159,35.02978,35.377044999999995,35.420280000000005,35.45925,35.494105000000005,35.532215,35.567040000000006,35.60419,35.642085,35.678015,35.715590000000006,35.75219,35.66582,35.57926,35.486255,35.39641,35.31,35.222315,35.13582,35.04825,34.962095000000005,34.875495
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,GtC,CO2_ATMOS_POOL,764.7874,768.53662,771.184,776.87576,780.93494,783.65238,786.93878,791.5287,796.99755,800.3434,804.41956,808.88423,812.26617,816.8009,820.07244,825.24619,829.97411,834.37297,840.12418,843.99228,849.09173,854.9762000000001,860.961365,867.1157900000001,873.39687,879.88013,886.48591,893.32317,900.43361,907.70769,915.18441,922.961785,930.93258,939.1034199999999,947.39896,956.0046950000001,964.745585,973.73349,982.9607,992.56871,1002.4571,1012.65395,1023.244275,1033.886405,1044.8903500000001,1056.097315,1067.7438499999998,1079.466895,1091.562645,1103.973,1116.597925,1129.677905,1143.02767,1156.62279,1170.572955,1184.86331,1199.55125,1214.580155,1229.674355,1245.331545,1261.3135750000001,1278.09395,1294.991955,1312.266965,1329.9297499999998,1348.1775349999998,1366.707245,1385.526915,1404.54899,1424.131335,1443.86188,1464.23188,1484.879535,1506.168015,1527.68995,1549.5059,1571.643645,1593.89834,1616.601985,1639.83471,1663.599075,1687.450135,1711.338235,1735.342875,1759.73065,1784.768235,1810.48829,1835.573555,1860.4897449999999,1885.4717249999999,1911.034705,1936.806155,1962.8745,1988.4996649999998,2014.107915,2040.1212150000001,2066.21302,2092.1591500000004,2118.3233,2144.33875,2170.00029,2195.4680150000004,2220.646555,2245.901745,2271.2793650000003,2296.7984850000003
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.695775,1.7933,1.6814,1.838495,2.0182599999999997,2.0626249999999997,2.0812,2.057505,2.0765,2.0700950000000002,2.04684,2.099255,2.12212,2.242005,2.2805299999999997,2.28266,2.42251,2.462735,2.54516,2.53574,2.5574700000000004,2.591825,2.6555150000000003,2.7241299999999997,2.797355,2.861325,2.939865,3.02251,3.0914349999999997,3.1552550000000004,3.2044249999999996,3.258545,3.314655,3.3820249999999996,3.4402049999999997,3.500635,3.55672,3.62402,3.70632,3.80184,3.877155,3.9640199999999997,4.028734999999999,4.10353,4.16244,4.220945,4.282954999999999,4.356215000000001,4.4354,4.524015,4.624495,4.718495000000001,4.826115,4.914345,4.978875,5.0338650000000005,5.100350000000001,5.166684999999999,5.239045,5.323115,5.41952,5.517495,5.598509999999999,5.68468,5.766585,5.835385,5.90493,5.97691,6.06349,6.149045,6.24525,6.356705,6.46767,6.5663,6.650125,6.7333750000000006,6.811645,6.89525,6.982205,7.067105,7.15854,7.246975,7.343325,7.451055,7.56222,7.6628050000000005,7.756205,7.84157,7.919689999999999,7.99723,8.06268,8.14108,8.223405,8.31072,8.40651,8.504470000000001,8.596765,8.69444,8.762270000000001,8.821075,8.88485,8.943695,9.006810000000002,9.06861,9.14454,9.236405000000001
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.224715,-1.1544699999999999,-1.28644,-1.3005200000000001,-1.153755,-1.10778,-1.105985,-1.18876,-1.201545,-1.205235,-1.233465,-1.2344650000000001,-1.24254,-1.181095,-1.152685,-1.209625,-1.16276,-1.20206,-1.153315,-1.196415,-1.18376,-1.15111,-1.1202299999999998,-1.086185,-1.05249,-1.0289199999999998,-1.01311,-1.000405,-0.987645,-0.974975,-0.961625,-0.946915,-0.931075,-0.9152899999999999,-0.90011,-0.891815,-0.889575,-0.8861650000000001,-0.882715,-0.88002,-0.8762650000000001,-0.87341,-0.87086,-0.8683,-0.86483,-0.860325,-0.85318,-0.845925,-0.8397950000000001,-0.832465,-0.825745,-0.82031,-0.81459,-0.8078449999999999,-0.8021,-0.80031,-0.8024100000000001,-0.805625,-0.80794,-0.810665,-0.8135749999999999,-0.8164899999999999,-0.8194049999999999,-0.8223199999999999,-0.8252349999999999,-0.82577,-0.823555,-0.82132,-0.81908,-0.816865,-0.81481,-0.813015,-0.81138,-0.8095600000000001,-0.807145,-0.803135,-0.797715,-0.7915749999999999,-0.7854099999999999,-0.77955,-0.773575,-0.766715,-0.76041,-0.754075,-0.747745,-0.7397549999999999,-0.729935,-0.72013,-0.7095549999999999,-0.69956,-0.6889350000000001,-0.678965,-0.668005,-0.656955,-0.64631,-0.63564,-0.6235250000000001,-0.6118349999999999,-0.599955,-0.58822,-0.576465,-0.5631349999999999,-0.55053,-0.5386599999999999,-0.5260050000000001,-0.514365
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.35824500000000004,-0.356085,-0.363605,-0.365585,-0.35116,-0.35345000000000004,-0.35026999999999997,-0.342605,-0.34612,-0.350225,-0.35507500000000003,-0.34911,-0.343285,-0.332585,-0.31818,-0.31043,-0.308885,-0.307955,-0.30752500000000005,-0.311,-0.31001,-0.29495499999999997,-0.28129499999999996,-0.26727999999999996,-0.25400500000000004,-0.24620999999999998,-0.24160500000000001,-0.236695,-0.22989500000000002,-0.224335,-0.21936,-0.215955,-0.21256000000000003,-0.20894000000000001,-0.206245,-0.20261,-0.20099,-0.1998,-0.1991,-0.19785999999999998,-0.19531500000000002,-0.19278,-0.191495,-0.19093,-0.19061,-0.19035,-0.18949,-0.18984499999999999,-0.19071,-0.191965,-0.19305499999999998,-0.19439499999999998,-0.19519999999999998,-0.196195,-0.19752999999999998,-0.19964500000000002,-0.20151000000000002,-0.203415,-0.20545,-0.2076,-0.20929999999999999,-0.21132,-0.21392,-0.216255,-0.217965,-0.21952,-0.220345,-0.22116000000000002,-0.22132,-0.222005,-0.22269,-0.22337,-0.224045,-0.224725,-0.226045,-0.22726000000000002,-0.22799,-0.22846,-0.228055,-0.22693,-0.226875,-0.22742,-0.22733,-0.22682000000000002,-0.22579500000000002,-0.22421000000000002,-0.223805,-0.22437,-0.22463,-0.22414,-0.22403499999999998,-0.22422999999999998,-0.224185,-0.223795,-0.22334500000000002,-0.223665,-0.222775,-0.22162,-0.21963500000000002,-0.2192,-0.218675,-0.21737,-0.21689,-0.21772999999999998,-0.216225,-0.21445999999999998
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.81891,-0.750105,-0.88036,-0.89849,-0.76451,-0.71253,-0.714275,-0.7991,-0.810795,-0.810095,-0.83401,-0.83666,-0.852425,-0.7930900000000001,-0.77272,-0.84576,-0.79044,-0.837545,-0.78694,-0.833885,-0.82531,-0.806745,-0.79044,-0.7774700000000001,-0.762935,-0.7507550000000001,-0.74179,-0.7340500000000001,-0.725185,-0.715535,-0.7071799999999999,-0.698535,-0.689565,-0.6809149999999999,-0.6715949999999999,-0.6657,-0.66412,-0.661805,-0.65905,-0.65596,-0.65269,-0.6489100000000001,-0.64558,-0.642975,-0.63986,-0.6350800000000001,-0.6287499999999999,-0.6225050000000001,-0.6166050000000001,-0.61067,-0.604695,-0.597915,-0.5908800000000001,-0.5835999999999999,-0.5764549999999999,-0.5734250000000001,-0.57429,-0.57515,-0.57601,-0.576865,-0.577705,-0.578295,-0.578945,-0.5797300000000001,-0.580515,-0.579585,-0.57694,-0.5742849999999999,-0.5716300000000001,-0.5689649999999999,-0.56629,-0.563615,-0.56093,-0.558235,-0.55545,-0.5510200000000001,-0.5453049999999999,-0.5395749999999999,-0.53382,-0.528705,-0.5239050000000001,-0.519135,-0.5142100000000001,-0.508815,-0.502915,-0.495295,-0.486385,-0.47703,-0.46758500000000003,-0.457985,-0.44826,-0.43940999999999997,-0.43071499999999996,-0.42176,-0.412425,-0.401895,-0.390605,-0.37921499999999997,-0.36884,-0.35850499999999996,-0.34697,-0.334615,-0.322955,-0.31059000000000003,-0.29818,-0.28673000000000004
MAGICC7,6188ea3e-8884-4458-87d6-a06dbc6f21b3,REMIND-MAGPIE,0.5,,,World,SSP585,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.48629500000000003,0.48699000000000003,0.48857,0.49182000000000003,0.49473,0.49462,0.494035,0.494915,0.49660499999999996,0.496815,0.496465,0.496455,0.49846999999999997,0.50196,0.503295,0.50539,0.5072749999999999,0.5080450000000001,0.510695,0.51389,0.517635,0.52288,0.5280199999999999,0.532585,0.536845,0.54074,0.544315,0.548045,0.55204,0.556365,0.56108,0.565835,0.570645,0.5756749999999999,0.580835,0.5861149999999999,0.5915699999999999,0.5973550000000001,0.60362,0.609925,0.616725,0.62389,0.63102,0.638305,0.645945,0.65375,0.6616949999999999,0.669335,0.6770050000000001,0.684295,0.6915,0.6986,0.70572,0.71254,0.719155,0.725995,0.7326900000000001,0.7385649999999999,0.74387,0.7488049999999999,0.753115,0.7570049999999999,0.760305,0.7632,0.765835,0.7682500000000001,0.770615,0.77239,0.77389,0.77516,0.77653,0.7775099999999999,0.778875,0.779665,0.77973,0.7798,0.779875,0.77919,0.77857,0.77736,0.776,0.773995,0.77186,0.7698,0.7683,0.766175,0.763535,0.7604599999999999,0.756815,0.75283,0.7493449999999999,0.746135,0.74158,0.73715,0.73238,0.727645,0.7225550000000001,0.7179150000000001,0.7125600000000001,0.7069449999999999,0.7012849999999999,0.6975899999999999,0.692395,0.687945,0.68367,0.678885
